epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2100.26,0.87026,3.26797,1.28299,0.51212,0.34188,0.32221,0.26302,0.71346,2.2386,1.30615,7.0966e-05,7.0966e-05,7.0966e-05
2,4017.62,0.69571,1.98435,1.1757,0.58118,0.61178,0.62456,0.53467,0.59994,1.37513,1.17861,0.000139155,0.000139155,0.000139155
3,5983.52,0.65133,1.56532,1.13243,0.73514,0.7348,0.79068,0.68348,0.60433,1.05923,1.14249,0.000204533,0.000204533,0.000204533
4,8203.13,0.61325,1.31391,1.10791,0.84816,0.83694,0.87979,0.77006,0.58568,0.79185,1.13054,0.000200348,0.000200348,0.000200348
5,10654.2,0.58736,1.17259,1.09126,0.82967,0.89748,0.89197,0.80343,0.4978,0.68609,1.04728,0.00019613,0.00019613,0.00019613
6,12549.2,0.57511,1.08029,1.08117,0.84549,0.94044,0.92991,0.83653,0.49356,0.60331,1.03947,0.000191913,0.000191913,0.000191913
7,14439.8,0.557,1.00034,1.07197,0.88209,0.93087,0.92097,0.82741,0.48618,0.55016,1.03562,0.000187696,0.000187696,0.000187696
8,16329.2,0.53746,0.94248,1.05711,0.88197,0.9531,0.91804,0.83691,0.45153,0.48023,1.01283,0.000183478,0.000183478,0.000183478
9,18397.8,0.53234,0.90456,1.05587,0.91491,0.91415,0.92035,0.84241,0.43489,0.45919,0.9856,0.000179261,0.000179261,0.000179261
10,20289.4,0.52836,0.87318,1.05453,0.91311,0.94835,0.93426,0.85744,0.42284,0.42863,0.98748,0.000175043,0.000175043,0.000175043
11,22174.1,0.51125,0.83477,1.04441,0.91035,0.9218,0.92313,0.85304,0.40757,0.40988,0.96704,0.000170826,0.000170826,0.000170826
12,24058.3,0.50768,0.80852,1.04065,0.89292,0.95033,0.93685,0.85813,0.42686,0.38363,0.97334,0.000166609,0.000166609,0.000166609
13,25938.5,0.49708,0.78599,1.03807,0.91188,0.95224,0.93562,0.85741,0.44733,0.36162,0.98601,0.000162391,0.000162391,0.000162391
14,27810.1,0.49909,0.77958,1.03748,0.91406,0.94549,0.94245,0.87348,0.41262,0.35417,0.9616,0.000158174,0.000158174,0.000158174
15,29680,0.49031,0.75306,1.0336,0.92027,0.94277,0.94191,0.87581,0.39768,0.33627,0.9537,0.000153956,0.000153956,0.000153956
16,32014.4,0.48823,0.73684,1.03082,0.87406,0.96065,0.94306,0.875,0.41256,0.3348,0.95591,0.000149739,0.000149739,0.000149739
17,34395.5,0.4791,0.73427,1.02791,0.93012,0.96048,0.95603,0.89028,0.40091,0.31693,0.94766,0.000145522,0.000145522,0.000145522
18,36532.9,0.47666,0.71805,1.02703,0.93561,0.93237,0.95302,0.88764,0.39634,0.31117,0.94363,0.000141304,0.000141304,0.000141304
19,39088.7,0.4716,0.71502,1.02373,0.89576,0.97086,0.95789,0.89161,0.38508,0.29802,0.93975,0.000137087,0.000137087,0.000137087
20,41878.5,0.471,0.70446,1.02084,0.89886,0.97218,0.96365,0.91037,0.36486,0.29062,0.9261,0.000132869,0.000132869,0.000132869
21,43797.3,0.4685,0.68385,1.02126,0.8886,0.97087,0.95449,0.89235,0.38752,0.29088,0.94177,0.000128652,0.000128652,0.000128652
22,45713.3,0.45912,0.6713,1.01515,0.8924,0.96968,0.96302,0.90126,0.38292,0.28039,0.93746,0.000124435,0.000124435,0.000124435
23,47587,0.45698,0.65917,1.01252,0.90046,0.97222,0.96924,0.9117,0.36775,0.27165,0.92757,0.000120217,0.000120217,0.000120217
24,49463.9,0.44987,0.65354,1.01041,0.90322,0.97161,0.97104,0.91064,0.38136,0.26396,0.92685,0.000116,0.000116,0.000116
25,51361.6,0.44742,0.64192,1.01036,0.92722,0.96516,0.97424,0.91065,0.39025,0.26106,0.93199,0.000111782,0.000111782,0.000111782
26,54325.3,0.44852,0.64467,1.01038,0.94448,0.97004,0.97594,0.91755,0.36747,0.25908,0.9216,0.000107565,0.000107565,0.000107565
27,57173.8,0.44445,0.63181,1.0081,0.94224,0.96879,0.97972,0.92483,0.35911,0.25086,0.91353,0.000103348,0.000103348,0.000103348
28,59708.5,0.44324,0.63376,1.01118,0.94142,0.96188,0.97469,0.91906,0.36646,0.25037,0.91853,9.91302e-05,9.91302e-05,9.91302e-05
29,62125.7,0.43886,0.62121,1.00645,0.93306,0.97149,0.97844,0.92259,0.37014,0.24166,0.92206,9.49128e-05,9.49128e-05,9.49128e-05
30,64077,0.43474,0.60457,1.0039,0.95554,0.96971,0.98105,0.92366,0.36963,0.23397,0.91934,9.06954e-05,9.06954e-05,9.06954e-05
31,66495.2,0.43295,0.60815,1.00359,0.95632,0.98336,0.98486,0.93092,0.35653,0.22872,0.91517,8.6478e-05,8.6478e-05,8.6478e-05
32,69025.6,0.4304,0.59652,1.00229,0.95977,0.97256,0.98107,0.92648,0.35975,0.22688,0.91409,8.22606e-05,8.22606e-05,8.22606e-05
33,70942.1,0.42756,0.59528,1.00092,0.95838,0.97816,0.98123,0.92834,0.35978,0.22931,0.91235,7.80432e-05,7.80432e-05,7.80432e-05
34,73026.3,0.42418,0.58192,0.9962,0.9694,0.9813,0.98351,0.92916,0.36576,0.23034,0.91418,7.38258e-05,7.38258e-05,7.38258e-05
